Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
4cm-x-150cm-silicone-scar-sheets-1-roll-self-adhesive-scar-cover-tape-skin-care-waterproof-and-breathable,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4351b90368af483f8c46e8cea32fc15a.webp?v=1748113538,5,"",,,,,,,,,,,,,,,,,,,
4cm-x-150cm-silicone-scar-sheets-1-roll-self-adhesive-scar-cover-tape-skin-care-waterproof-and-breathable,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/6800f3bd957f4ae09237d028b9a69a25.webp?v=1748113537,6,"",,,,,,,,,,,,,,,,,,,
4cm-x-150cm-silicone-scar-sheets-1-roll-self-adhesive-scar-cover-tape-skin-care-waterproof-and-breathable,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/7a2bcc72b36a4eb4b3c07d033a726779.webp?v=1748113538,7,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,Adjustable Waist Self-heating belt protector Back Waist Support Belt Lumbar Brace Massage Band Health Care,"<div class=""detailmodule_html""><div class=""detail-desc-decorate-richtext"">
<div><br></div>
<p><span style='font-size:18px;font-family:""Comic Sans MS""'><strong>Features:</strong></span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>1.Spontaneous heating<br>2.Relieve lower back pain by reducing pressure.<br>3.Neoprene back panel for warmth and compression.<br>4.Vented and breathable elastic side panels.<br>5.Adjustable and comfortable.<br>6.Professionally designed Double Pull braces can be adjusted.</span></p>
<div><br></div>
<p><span style='font-size:18px;font-family:""Comic Sans MS""'><strong>Specifications:</strong></span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>100% Brand New And High Quality</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>Material:Magnetic composite cloth heating cloth</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>Color: as picture</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>Size:S: Length 100cm, width 14cm</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>M: Length 105cm, width 14cm</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>L: Length 110cm, width 14cm</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>XL: Length 115cm, width 14cm</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>Conversion:1inch=2.54cm,  1cm=0.394inches</span></p>
<div><br></div>
<p><span style='font-size:18px;font-family:""Comic Sans MS""'><strong>Warm Tip :</strong></span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>1.Please be reminded that due lighting effects, monitor's brightness/contrast settings etc, there could be some slight differences in the colour tone of the website's photo and the actual item.</span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>2.Item Measure by hand, it could be 1cm different,your kind understanding will be much appreciated.</span></p>
<div><br></div>
<p><span style='font-size:18px;font-family:""Comic Sans MS""'><strong>Package Content:</strong></span><br><span style='font-size:18px;font-family:""Comic Sans MS""'>1* Waist Support Belt</span></p>
<div><br></div>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/Sf4f2bb444f6f49f2b7db60c3f780c951J.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/Sadc1e8fe45a042f19753d22c5ef9ee40O.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S96f3cc7eedab415c9f717f17978a517cz.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S98e56a32a741477891c62d757e2c7ee3a.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S1fb24219ad0142dbb9a3e78a5523e9e8H.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S75fb7b56a6be4cd9a003753611127fccH.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/Sbe6d310b3d8740e5a2001526172cc14ab.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S437a84a11ad84e408950c432e4d8e477F.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S53d0821b76864567bad9b41f57435ed3h.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S714dd4e4acbd4ac580561c799cefc4e87.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S06de988317ae4b0e906c252ef9f9f301L.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/Se499afb8af054e2ba8d52120d80b6d5b6.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S7883483147b04689bb4622c3759fe41bK.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/S4e321c3fd80349cea001558cb57b317fu.jpg"" slate-data-type=""image""></p>
<p><img style=""width:800px"" width=""800px"" src=""https://ae01.alicdn.com/kf/Sad110f4471924d4ea056fb10c6eeef72P.jpg"" slate-data-type=""image""></p>
<div>
<br><br>
</div>
</div></div><p><br></p>",KaziHub,,"",health,true,Color,Black,,Size,S,,,,,14:201452310#Black;491:201452308#S,0.0,shopify,deny,manual,16.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/0773f7de64d64a32ab07764d0e47436c.webp?v=1748113535,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4c0af912bcfc4bdeac54429884ca93bd.webp?v=1748113535,lb,,6.92,active
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,Black,,,L,,,,,14:201452310#Black;491:200000313#L,0.0,shopify,deny,manual,17.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/a5066be8c2884fc28d7174b56867459e.webp?v=1748113535,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/9abfe0a70aba4853a613b8ee34289ada.webp?v=1748113536,lb,,7.05,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,Black,,,XL,,,,,14:201452310#Black;491:200000314#XL,0.0,shopify,deny,manual,16.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/f42111df48d041548427e0e9cccafcad.webp?v=1748113535,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/ec01fe4402f04252bcd2aa4bfab026f5.webp?v=1748113535,lb,,6.77,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,Black,,,M,,,,,14:201452310#Black;491:200000312#M,0.0,shopify,deny,manual,16.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4d4dca76428e4c64b8991f7fe3df5faa.webp?v=1748113534,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/961a7cc67edb43f7a28170d62a7f1fe4.webp?v=1748113535,lb,,6.69,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2602b2342294470e959738ba1dbc8d6a.webp?v=1748113534,5,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/2c8b3d9222a74aefb0f6d39c93bec60d.webp?v=1748113535,6,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/e07de4ecf0ca4b0a8c313284c7828022.webp?v=1748113534,7,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/4c0af912bcfc4bdeac54429884ca93bd.webp?v=1748113535,8,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/9abfe0a70aba4853a613b8ee34289ada.webp?v=1748113536,9,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/ec01fe4402f04252bcd2aa4bfab026f5.webp?v=1748113535,10,"",,,,,,,,,,,,,,,,,,,
adjustable-waist-self-heating-belt-protector-back-waist-support-belt-lumbar-brace-massage-band-health-care,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/961a7cc67edb43f7a28170d62a7f1fe4.webp?v=1748113535,11,"",,,,,,,,,,,,,,,,,,,
hair-steamer-cap-electric-hair-heating-cap-thermal-treatment-hat-waterproof-self-heating-hat-spa-nourishing-hair-styling-care,Hair Steamer Cap Electric Hair Heating Cap Thermal Treatment Hat Waterproof Self-heating Hat SPA Nourishing Hair Styling Care,"<p style=""text-align:left"" class=""MsoNormal"" align=""left""><strong><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Features</span></strong></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">1. Waterproof inner embedded plastic film can maintain better moisture keeping effect and steaming performance to improve hair split ends and repair hair damage, effortlessly helping regain your silky smooth hair.</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">2. Two adjustable heating stages are available for options, max up to 75 degrees, which can provide custom thermal treatment for your hair to effectively avoid unnecessary over-heat damage and reduce hair frizz and static.</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">3. One button control design, you can easily slide the button to power on/off and switch the temperature modes, user friendly and convenient.</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">4. Enhanced insulation material and overheat protection function can offer the maximum comfort and safety for you.</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">5. Quick-to-release drawstring can freely adjust the cap closure to secure fit your head with perfect tightness.</span></p><p style=""text-align:left;margin-left:0pt"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">6. Detachable and smooth zipper design allows for cleaning convenience and maintain breeze, suitable for both home and travel use, you can instantly access hair nursing whenever and wherever you want, resulting in shinier, healthier and stronger hairfinally.</span></p><p style=""text-align:left"" align=""left""><br></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><strong><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Specifications</span></strong></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Material: Waterproof Cloth, Plastic</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Color: Pink</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Plug Type: US Plug/EU Plug(Optional)</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Voltage: 220V</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Power: 50W</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Heat Stages: High - Low - Off</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Heating Temperature: Max. Up to 60℃</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">LED Indicator: Yes</span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style=""font-size:16px;font-family:arial, helvetica, sans-serif"">Size: As Picture Shown</span></p><p style=""text-align:left"" align=""left""><br></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style='font-size:16px;font-family:""comic sans ms"", cursive'><strong>Package Included:</strong></span></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><span style='font-size:16px;font-family:""comic sans ms"", cursive'>1* Hair Steamer Cap with Power Cord</span></p><p><br></p><p style=""text-align:left"" class=""MsoNormal"" align=""left""><img src=""https://ae01.alicdn.com/kf/S00d5a05cf4d24bbe8c3aff80212fe8d6x.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S5159760ae0254253b4033b648f810e0bk.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sc2eb0a961d0747968b24e591e8ea6452Q.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sac89f18449d242448ee1bf19d40dcd88q.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sa7352a51fa6940a78fc248b7dbc71347p.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S32c65ed3f87348b0983d5da4ef95190dZ.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S755589b5c0c7457797c3f2b3658017053.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sf844b6ecc4e54b148680cb6cc2b5ea7et.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Scc96ce7bc2d74e99981f7617732134509.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S213620cba1cc48cb8a064fb98c7714b4e.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S75404bca0b8e41938435f792b2fa11152.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sa24bfbf06f8044e780b33137d18de197o.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Scb90502062974a428e029dc2fa4e239fK.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S99ee14d897564f6d9aa15678119236c6M.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sa4ea0affa62140bb97b9eadd9361dc95l.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S488a1f1ce04a44f6bd37648815d18378j.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Scfe3cb31843947f2a5322290f313bc35s.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/Sf60aa7b113964c0aa2a4c0922534ed86I.jpg"" slate-data-type=""image""><img src=""https://ae01.alicdn.com/kf/S743b9b8460b7412280538e3098e9619bQ.jpg"" slate-data-type=""image""></p>",KaziHub,,"","health, home",true,Color,Red-EU,,,,,,,,14:200006152#Red-EU;200007763:201336100,0.0,shopify,deny,manual,16.00,,true,true,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/95ce59a79a3f4ce8b4b1f6652ee2e372.webp?v=1748113532,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/7816/3826/files/b6b9c97a926444289901d1204bfcab42.webp?v=1748113533,lb,,6.56,active
